ppn,video_id,group,animation_name,duration,valence,arousal,confidence,interaction_score
1,43,fail,anim_memorymatch_failhand_01,00:01:00,-0.47,0.29,0.8,3
1,67,find,anim_speedtap_findsplayer_01,00:01:00,0.34,0.18,0.85,3
1,18,bored,anim_bored_event_01,00:07:00,-0.31,-0.23,0.71,3
1,2,ask,anim_reacttoblock_ask_01_head_angle_20,00:03:00,0.57,0.72,0.91,3
1,1,admire,anim_reacttoblock_admirecubetower_01,00:04:00,0.74,0.81,0.9,3
1,10,badword,anim_cozmosays_badword_01_head_angle_20,00:03:00,-0.61,0.36,0.88,3
1,69,frustrated,anim_reacttoblock_frustrated_int1_01,00:01:00,-0.23,-0.23,0.84,3
1,68,found,anim_speedtap_foundblock_01,00:01:00,0.93,0.32,0.94,3
1,26,celebrate,anim_meetcozmo_celebration_02_head_angle_40,00:03:00,0.9,0.48,0.87,3
1,31,dizzy,anim_dizzy_pickup_03,00:03:00,-0.09,0.09,0.88,3
2,11,badword,anim_cozmosays_badword_02_head_angle_20,00:03:00,0.31,0.16,0.57,4
2,76,guarddog,anim_guarddog_fakeout_02,00:04:00,-0.35,-0.06,0.43,4
2,3,ask,anim_rtpkeepaway_askforgame_02,00:03:00,0.39,0.25,0.62,4
2,32,dizzy,anim_dizzy_pickup_02,00:03:00,-0.54,-0.18,0.4,4
2,70,frustrated,anim_reacttoblock_frustrated_01,00:01:00,0,-0.01,0.5,4
2,92,happy,anim_pyramid_reacttocube_happy_high_01,00:02:00,0.23,0,0.53,4
2,44,fail,anim_pounce_fail_02,00:03:00,0.09,0.17,0.65,4
2,19,bored,anim_bored_event_04,00:13:00,0.01,0.51,0.69,4
2,27,celebrate,anim_meetcozmo_celebration_02,00:03:00,0.68,0.29,0.71,4
2,75,giggle,id_poked_giggle,00:01:00,0.29,0.12,0.57,4
3,33,dizzy,anim_dizzy_reaction_medium_03,00:09:00,-0.01,0.99,0.78,3
3,4,ask,anim_reacttoblock_ask_01_head_angle_40,00:02:00,0.74,-0.11,0.9,3
3,20,bored,anim_bored_event_03,00:10:00,-0.18,-0.38,0.68,3
3,104,hello,anim_launch_firsttimewakeup_helloplayer,00:16:00,-0.18,-0.92,0.88,3
3,28,celebrate,anim_meetcozmo_celebration_02_head_angle_20,00:03:00,0.92,-0.19,0.98,3
3,77,guarddog,anim_guarddog_fakeout_03,00:02:00,-0.16,0.64,0.72,3
3,71,frustrated,anim_reacttoblock_frustrated_int2_01,00:02:00,-0.79,-0.82,0.84,3
3,45,fail,anim_memorymatch_failhand_03,00:01:00,-0.89,-0.91,0.84,3
3,93,happy,anim_greeting_happy_03,00:04:00,0.27,0.81,0.77,3
3,12,badword,anim_cozmosays_badword_01,00:03:00,-0.06,-0.36,0.7,3
4,13,badword,anim_cozmosays_badword_02_head_angle_-20,00:03:00,0.52,0.62,0.85,5
4,21,bored,anim_bored_01,00:01:00,-0.16,-0.71,0.8,5
4,34,dizzy,anim_dizzy_shake_loop_01,00:06:00,-0.71,-0.79,0.82,5
4,94,happy,anim_reacttoblock_happydetermined_01,00:02:00,0.17,0.07,0.75,5
4,105,hello,anim_launch_firsttimewakeup_helloplayer_head_angle_20,00:16:00,-0.01,0.03,0.5,5
4,46,fail,anim_memorymatch_failhand_player_01,00:02:00,0.34,0.07,0.79,5
4,78,guarddog,anim_guarddog_settle_01,00:10:00,0.03,0.54,0.65,5
4,72,frustrated,anim_pyramid_reacttocube_frustrated_low_01,00:01:00,-0.1,-0.6,0.6,5
4,29,celebrate,anim_meetcozmo_celebration,00:10:00,-0.09,0.56,0.73,5
4,5,ask,anim_reacttoblock_ask_01,00:03:00,0.65,0.76,0.92,5
5,35,dizzy,anim_dizzy_reaction_medium_01,00:09:00,0.01,-0.74,0.85,3
5,22,bored,anim_bored_event_02,00:05:00,0.71,-0.01,0.87,3
5,30,celebrate,anim_meetcozmo_celebration_02_head_angle_-20,00:03:00,-0.09,-0.38,0.77,3
5,79,guarddog,anim_guarddog_getout_touched_01,00:06:00,-0.32,0.35,0.85,3
5,106,hello,anim_launch_firsttimewakeup_helloplayer_head_angle_40,00:16:00,0.28,-0.02,0.88,3
5,73,frustrated,anim_pyramid_reacttocube_frustrated_mid_01,00:06:00,-0.48,0.53,0.89,3
5,47,fail,anim_memorymatch_failhand_player_02,00:02:00,0,0.07,0.83,3
5,14,badword,anim_cozmosays_badword_01_head_angle_-20,00:03:00,-0.57,-0.16,0.69,3
5,95,happy,anim_greeting_happy_03_head_angle_20,00:04:00,0.32,0.44,0.88,3
5,6,ask,anim_rtpkeepaway_askforgame_01,00:03:00,0.69,-0.01,0.83,3
6,74,frustrated,anim_pyramid_reacttocube_frustrated_high_01,00:05:00,-0.96,0.96,1,2
6,96,happy,anim_pyramid_reacttocube_happy_low_01,00:01:00,-0.01,0.34,0.81,2
6,80,guarddog,anim_guarddog_getout_untouched_02,00:02:00,0.89,0.82,1,2
6,23,bored,anim_bored_02,00:01:00,-0.97,-0.38,1,2
6,15,badword,anim_cozmosays_badword_01_head_angle_40,00:02:00,-0.77,0.62,0.85,2
6,107,hello,anim_launch_firsttimewakeup_helloplayer_head_angle_-20,00:16:00,0.73,-0.21,0.83,2
6,48,fail,majorfail,00:03:00,-0.14,-0.01,0.64,2
6,109,hiccup,anim_hiccup_faceplant_01,00:04:00,-0.23,0.2,0.5,2
6,36,dizzy,anim_dizzy_reaction_soft_01,00:02:00,0,0.1,0.71,2
6,7,ask,anim_reacttoblock_ask_01_head_angle_-20,00:02:00,0.62,0.34,0.83,2
7,36,dizzy,anim_dizzy_reaction_soft_01,00:02:00,0.79,0.24,0.87,6
7,23,bored,anim_bored_02,00:01:00,-0.12,-0.82,0.76,6
7,74,frustrated,anim_pyramid_reacttocube_frustrated_high_01,00:05:00,-0.76,0.85,0.86,6
7,96,happy,anim_pyramid_reacttocube_happy_low_01,00:01:00,0.01,-0.63,0.28,6
7,107,hello,anim_launch_firsttimewakeup_helloplayer_head_angle_-20,00:16:00,0.13,0.1,0.56,6
7,15,badword,anim_cozmosays_badword_01_head_angle_40,00:02:00,-0.26,0.29,0.64,6
7,7,ask,anim_reacttoblock_ask_01_head_angle_-20,00:02:00,0.81,0.77,0.7,6
7,80,guarddog,anim_guarddog_getout_untouched_02,00:02:00,0.14,0.3,0.57,6
7,109,hiccup,anim_hiccup_faceplant_01,00:04:00,-0.18,-0.24,0.1,6
7,48,fail,majorfail,00:03:00,0.21,-0.4,0.5,6
8,8,ask,anim_reacttoblock_ask_01_0,00:03:00,-0.1,0.6,0.65,2
8,37,dizzy,anim_dizzy_shake_stop_01,00:04:00,0.09,0.42,0.49,2
8,110,hiccup,anim_hiccup_02,00:03:00,0.01,0.28,0.24,2
8,97,happy,anim_greeting_happy_03_head_angle_40,00:03:00,-0.57,0.39,0.64,2
8,108,hello,anim_launch_firsttimewakeup_helloworld,00:10:00,0.63,-0.08,0.39,2
8,16,badword,anim_cozmosays_badword_02,00:03:00,-0.08,0.09,0.25,2
8,49,fail,id_rollblock_fail_01,00:01:00,-0.08,0.07,0.16,2
8,24,bored,anim_bored_getout_02,00:02:00,-0.05,0.08,0.21,2
8,119,highenergy,anim_workout_highenergy_getin_01,00:02:00,0.63,0.29,0.49,2
8,81,guarddog,anim_guarddog_pulse_01,00:10:00,0,-0.58,0.41,2
9,67,find,anim_speedtap_findsplayer_01,00:01:00,0.97,-0.47,1,2
9,26,celebrate,anim_meetcozmo_celebration_02_head_angle_40,00:03:00,0.98,0.41,1,2
9,68,found,anim_speedtap_foundblock_01,00:01:00,0,0.21,1,2
9,1,admire,anim_reacttoblock_admirecubetower_01,00:04:00,-0.01,0.53,0.5,2
9,2,ask,anim_reacttoblock_ask_01_head_angle_20,00:03:00,0.38,0.44,1,2
9,10,badword,anim_cozmosays_badword_01_head_angle_20,00:03:00,0,0.65,1,2
9,18,bored,anim_bored_event_01,00:07:00,-0.49,-0.5,1,2
9,69,frustrated,anim_reacttoblock_frustrated_int1_01,00:01:00,-0.63,-0.01,1,2
9,31,dizzy,anim_dizzy_pickup_03,00:03:00,0.01,-0.01,1,2
9,43,fail,anim_memorymatch_failhand_01,00:01:00,-0.84,-0.27,1,2
10,19,bored,anim_bored_event_04,00:13:00,0.19,0.53,0.68,1
10,75,giggle,id_poked_giggle,00:01:00,-0.57,0.71,0.89,1
10,3,ask,anim_rtpkeepaway_askforgame_02,00:03:00,0.18,0.53,0.66,1
10,27,celebrate,anim_meetcozmo_celebration_02,00:03:00,0.82,0.84,0.95,1
10,76,guarddog,anim_guarddog_fakeout_02,00:04:00,-0.48,-0.16,0.55,1
10,44,fail,anim_pounce_fail_02,00:03:00,-0.29,0.39,0.61,1
10,11,badword,anim_cozmosays_badword_02_head_angle_20,00:03:00,0.01,0.38,0.69,1
10,32,dizzy,anim_dizzy_pickup_02,00:03:00,-0.75,0.79,0.88,1
10,70,frustrated,anim_reacttoblock_frustrated_01,00:01:00,0.02,0.11,0.59,1
10,92,happy,anim_pyramid_reacttocube_happy_high_01,00:02:00,0.71,0.21,0.89,1
11,29,celebrate,anim_meetcozmo_celebration,00:10:00,0.85,0.77,0.96,1
11,34,dizzy,anim_dizzy_shake_loop_01,00:06:00,0.99,0.98,1,1
11,72,frustrated,anim_pyramid_reacttocube_frustrated_low_01,00:01:00,0.64,0.34,0.98,1
11,46,fail,anim_memorymatch_failhand_player_01,00:02:00,0.77,0.41,1,1
11,13,badword,anim_cozmosays_badword_02_head_angle_-20,00:03:00,0.24,0.12,0.74,1
11,5,ask,anim_reacttoblock_ask_01,00:03:00,0.69,0.37,1,1
11,21,bored,anim_bored_01,00:01:00,0.59,-0.18,0.94,1
11,94,happy,anim_reacttoblock_happydetermined_01,00:02:00,0.64,0.06,0.85,1
11,105,hello,anim_launch_firsttimewakeup_helloplayer_head_angle_20,00:16:00,0.69,0.2,0.83,1
11,78,guarddog,anim_guarddog_settle_01,00:10:00,-0.47,-0.41,0.86,1
12,104,hello,anim_launch_firsttimewakeup_helloplayer,00:16:00,0.63,0.69,0.65,2
12,28,celebrate,anim_meetcozmo_celebration_02_head_angle_20,00:03:00,0.96,0.96,0.95,2
12,33,dizzy,anim_dizzy_reaction_medium_03,00:09:00,-0.78,0.91,0.87,2
12,77,guarddog,anim_guarddog_fakeout_03,00:02:00,-0.22,0.23,0.51,2
12,45,fail,anim_memorymatch_failhand_03,00:01:00,-0.54,-0.4,0.72,2
12,20,bored,anim_bored_event_03,00:10:00,-0.36,0.22,0.59,2
12,12,badword,anim_cozmosays_badword_01,00:03:00,-0.11,0.49,0.7,2
12,93,happy,anim_greeting_happy_03,00:04:00,0.83,0.85,0.83,2
12,71,frustrated,anim_reacttoblock_frustrated_int2_01,00:02:00,-0.26,-0.93,0.75,2
12,4,ask,anim_reacttoblock_ask_01_head_angle_40,00:02:00,0.01,0.42,0.65,2
13,80,guarddog,anim_guarddog_getout_untouched_02,00:02:00,0.49,0.09,0.64,1
13,15,badword,anim_cozmosays_badword_01_head_angle_40,00:02:00,-0.54,-0.04,0.59,1
13,48,fail,majorfail,00:03:00,-0.63,-0.39,0.59,1
13,74,frustrated,anim_pyramid_reacttocube_frustrated_high_01,00:05:00,-0.7,0.31,0.73,1
13,109,hiccup,anim_hiccup_faceplant_01,00:04:00,0.32,-0.03,0.62,1
13,23,bored,anim_bored_02,00:01:00,-0.34,-0.69,0.66,1
13,7,ask,anim_reacttoblock_ask_01_head_angle_-20,00:02:00,0.55,0.29,0.7,1
13,96,happy,anim_pyramid_reacttocube_happy_low_01,00:01:00,-0.34,-0.75,0.53,1
13,36,dizzy,anim_dizzy_reaction_soft_01,00:02:00,0.26,0.75,0.56,1
13,107,hello,anim_launch_firsttimewakeup_helloplayer_head_angle_-20,00:16:00,0,-0.62,0.32,1
14,251,sleep,anim_gotosleep_getout_03,00:04:00,-0.82,-0.63,0.65,3
14,137,lose,anim_speedtap_losehand_03,00:01:00,-0.86,0.01,0.79,3
14,160,petdetection,anim_petdetection_shortreaction_02,00:03:00,-0.96,-0.44,0.72,3
14,193,playeryes,anim_rtpkeepaway_playeryes_03,00:03:00,-0.34,-0.35,0.45,3
14,191,playerno,anim_speedtap_playerno_01,00:02:00,-0.93,0.22,0.74,3
14,201,reacttoface,anim_freeplay_reacttoface_sayname_03_head_angle_20,00:01:00,-0.94,0.02,0.6,3
14,238,reenrollment,anim_meetcozmo_reenrollment_sayname_01,00:03:00,-0.38,-0.23,0.66,3
14,241,request,anim_rtpmemorymatch_request_03,00:02:00,-0.63,0.02,0.8,3
14,197,reacttocube,anim_rtpkeepaway_reacttocube_03,00:01:00,-0.79,-0.01,0.59,3
14,62,fail,anim_memorymatch_failhand_02,00:02:00,-0.9,-0.55,0.83,3
15,236,reacttoface,anim_freeplay_reacttoface_identified_03_head_angle_-20,00:02:00,-0.01,0.15,0.51,1
15,149,lowenergy,anim_workout_lowenergy_getready_01,00:04:00,0.5,0.53,0.95,1
15,158,petdetection,anim_petdetection_shortreaction_01,00:03:00,0.29,0.2,0.75,1
15,90,guarddog,anim_guarddog_sleeploop_01,00:05:00,-0.6,-0.54,0.69,1
15,117,hiccup,anim_hiccup_withreaction_01,00:03:00,0.23,0.18,0.6,1
15,60,fail,anim_memorymatch_failgame_player_01,00:01:00,0.27,-0.18,0.75,1
15,189,playerno,anim_rtpkeepaway_playerno_03,00:04:00,-0.53,-0.15,0.55,1
15,155,newarea,anim_hiking_rtnewarea_03,00:02:00,0.74,0.84,0.85,1
15,301,succes,anim_memorymatch_solo_successhand_player_02,00:01:00,0.23,-0.54,0.8,1
15,135,lose,anim_keepaway_losehand_02,00:03:00,0.16,0.48,0.7,1
16,339,win,anim_speedtap_wingame_intensity02_02,00:01:00,-0.13,0.1,0.41,1
16,7,ask,anim_reacttoblock_ask_01_head_angle_-20,00:02:00,0.15,0.13,0.3,1
16,34,dizzy,anim_dizzy_shake_loop_01,00:06:00,-0.92,0.93,0.41,1
16,176,petdetection,anim_petdetection_shortreaction_02_head_angle_20,00:03:00,-0.26,0.01,0.55,1
16,45,fail,anim_memorymatch_failhand_03,00:01:00,0.27,-0.06,0.48,1
16,30,celebrate,anim_meetcozmo_celebration_02_head_angle_-20,00:03:00,0.06,-0.02,0.51,1
16,284,succes,anim_pyramid_success_01,00:04:00,0.13,-0.11,0.59,1
16,217,reacttoface,anim_freeplay_reacttoface_identified_01_head_angle_20,00:01:00,0.11,-0.02,0.46,1
16,23,bored,anim_bored_02,00:01:00,0.15,-0.02,0.36,1
16,15,badword,anim_cozmosays_badword_01_head_angle_40,00:02:00,0.19,-0.11,0.52,1
17,214,reacttoface,anim_reacttoface_unidentified_03,00:02:00,0.32,0.63,0.9,1
17,279,succes,anim_peekaboo_success_03,00:03:00,0.99,0.97,1,1
17,2,ask,anim_reacttoblock_ask_01_head_angle_20,00:03:00,0.97,0.91,0.95,1
17,334,win,anim_speedtap_winround_intensity01_01,00:01:00,-0.82,0.76,0.89,1
17,10,badword,anim_cozmosays_badword_01_head_angle_20,00:03:00,-0.69,0.63,0.87,1
17,171,petdetection,anim_petdetection_misc_01_head_angle_40,00:07:00,-0.07,0.75,0.76,1
17,1,admire,anim_reacttoblock_admirecubetower_01,00:04:00,0.64,0.18,0.84,1
17,331,wheely,anim_reacttocliff_wheely_03,00:04:00,0.81,0.57,0.92,1
17,326,upset,anim_driving_upset_start_01,00:00:00,-0.81,-0.54,0.85,1
17,317,turtleroll,anim_reacttocliff_turtlerollfail_02,00:06:00,-0.75,-0.72,0.83,1
18,255,sleep,anim_gotosleep_getout_02,00:05:00,-0.47,0.04,1,1
18,302,thankyou,anim_pyramid_thankyou_01,00:01:00,-0.97,-0.94,1,1
18,265,stuck,anim_reacttoblock_stuckonblock_01,00:05:00,-0.76,-0.02,1,1
18,306,turbo,anim_explorer_driving01_turbo_01_head_angle_20,00:02:00,0.43,0,1,1
18,141,lose,anim_keepaway_losehand_03,00:02:00,0.66,0.15,1,1
18,66,fail,anim_memorymatch_solo_failhand_player_03,00:02:00,0.57,-0.3,1,1
18,245,request,anim_fistbump_requestonce_01,00:02:00,0.46,0.28,1,1
18,272,succes,anim_memorymatch_successhand_player_03,00:04:00,-0.39,0.31,1,1
18,164,petdetection,anim_petdetection_cat_02_head_angle_20,00:11:00,0.98,0.95,1,1
18,205,reacttoface,anim_freeplay_reacttoface_sayname_02,00:03:00,0.23,0.19,1,1
19,73,frustrated,anim_pyramid_reacttocube_frustrated_mid_01,00:06:00,-0.51,0.53,0.82,1
19,291,succes,anim_memorymatch_solo_successhand_player_01,00:00:00,0.46,-0.52,0.92,1
19,226,reacttoface,anim_freeplay_reacttoface_sayname_03_head_angle_40,00:02:00,-0.24,0.55,0.54,1
19,80,guarddog,anim_guarddog_getout_untouched_02,00:02:00,0.54,0.49,0.81,1
19,107,hello,anim_launch_firsttimewakeup_helloplayer_head_angle_-20,00:16:00,0.55,0,0.31,1
19,40,dizzy,anim_dizzy_reaction_soft_03,00:05:00,-0.49,0.47,0.75,1
19,95,happy,anim_greeting_happy_03_head_angle_20,00:04:00,-0.29,0.47,0.59,1
19,50,fail,anim_memorymatch_solo_failhand_player_01,00:02:00,0.01,0.14,0.71,1
19,346,win,majorwin,00:02:00,0.02,0.2,0.86,1
19,183,petdetection,anim_petdetection_dog_02_head_angle_40,00:13:00,-0.84,0.89,0.7,1
